CÓDIGO;DESCRIPCIÓN;CANTIDAD TOTAL;MONTO TOTAL;PRECIO PROMEDIO;CANTIDAD DE REGISTROS
20;ARROLLADO LOMO CON AJI SJ;1188.9860000000003;6101533;5131.711391050861;75
27;ARROLLADO LOMO SIN AJI SJ;349.1980000000001;1806750;5173.998705605414;55
30;ARROLLADO HUASO CON AJI SJ;378.4100000000001;1948587;5149.406728152004;70
102;ARROLLADO LOMO CON AJI 12x150 GR SJ;71.99999999999999;395000;5486.111111111112;29
151;CHORIZO 12X250 GR SJ;93;371814;3998;29
210;FIAMBRE SANDWICH SJ;3567.4649999999983;10757465;3015.436731684825;108
215;FIAMBRE JAMON SANDWICH 12x250 GR SJ;72;321696;4468;22
265;JAMONADA DE AVE 3 KGS.SJ;600;2257200;3762;62
282;LONGANIZA SURENA SJ 400 G.;84.8;373968;4410;36
399;MORTADELA LISA 3 KG SJ;2406;6091686;2531.872817955112;107
403;MORTADELA LISA MINI PZA 8X400 GR SJ;172.8;510786;2955.9375;41
410;PATE AVE 16X125 GR SJ;652;2451520;3760;87
430;PATE TERNERA 16X125 GR SJ;1264;4752640;3760;105
440;PASTA JAMON 16x125 GR SJ;254;955040;3760;68
604;SALAME ITALIANO 15x100 GRS.SJ;129;1276557;9895.790697674418;66
606;SALAME AHUMADO 15x100 GRS.SJ;115.5;1143188;9897.731601731602;63
683;HAMBURGUESA 48X55 GR SJ;599.2799999999995;2676376;4465.9858496862935;36
689;HAMBURGUESA BRONTO 20x185 GR SJ;858.3999999999997;2946030;3432.001397949675;88
710;HAMBURGUESA 24x90 GR SJ;540.0000000000002;1889474;3499.0259259259246;85
716;BOLSA HAMBURGUESA 10X90 GR SJ;961.1999999999992;3344976;3480.0000000000027;78
738;SALCHICHON CERVEZA 1,6 KG SJ;452.79999999999984;1703437;3762.0075088339236;73
864;SALCHICHA BRONTO 950 GRS.SJ;501.60000000000036;1335247;2661.9756778309393;54
904;VIENESA PAVO 12X250 GR SJ;282;861792;3056;55
915;VIENESA SURENA 12x250 GR SJ;621;2044332;3292;84
916;VIENESA SURENA 8X1 KG SJ;2464;5575376;2262.7337662337663;96
970;MOLIDA 14x250 GR SJ;1869;6588833;3525.3253076511505;89
1006;VIENESA 10X380 GR SJ;357.20000000000033;939436;2629.9999999999977;63
1018;VIENESA PAVO 8X1 KG SJ;720;1820880;2529;64
1019;VIENESA DE POLLO 8X1 KG SJ;2192;4646416;2119.715328467153;88
1020;VIENESA TRADICIONAL 20X250 GR SJ;1640;4475840;2729.170731707317;109
1032;VIENESA TRADICIONAL 8X1 KG SJ;4960;10505280;2118;108
1039;VIENESA POLLO 12x250 GR SJ;438;1338528;3056;74
1053;VIENESA 17 CM CALIBRE 28 SJ;136.8;389196;2844.9999999999995;6
1064;SALAME ITALIANO LAMINADO 1,6 KG SJ;934.4;6993984;7485;83
1066;SALAME AHUMADO LAMINADO 1,6 KG SJ;796.8000000000001;5964048;7484.999999999999;73
1103;CHURRASCO 3 UNIDADES 25x120 GR SJ;345;2490210;7218;67
1111;MORTADELA JAMONADA DE PAVO 3 KG SJ;163.40399999999997;614732;3762.0376490171607;32
1228;JAMON PLANCHADO SJ;1067.71;5524330;5173.998557660788;86
1249;JAMON PLANCHADO 12X200 GR SJ;47.99999999999998;310460;6467.91666666667;17
1350;JAMON ACARAMELADO SJ;1220.0799999999997;6973977;5715.999770506854;79
1374;JAMON COLONIAL 12x200 GR SJ;52.79999999999998;369582;6999.659090909093;21
1388;JAMON ARTESANAL 12X200 GR SJ;96.00000000000003;620921;6467.927083333331;29
1397;JAMON ACARAM 12x200 GR SJ;64.79999999999998;452454;6982.314814814817;24
1402;MORTADELA LISA 250 GRS.SJ;84;355572;4233;26
1404;MORTADELA JAMONADA 3 KG SJ;696;2618352;3762;72
1409;MORTADELA JAMONADA 250 GRS. SJ;81;380943;4703;24
1416;CHORIZO 1 KG SJ;240;705840;2941;13
1421;CHORIZO SURENO PREMIUM 400 GRS.SJ;131.20000000000002;578592;4409.999999999999;43
1429;CHORIZO SURENO 10x250 GR SJ;32.5;147913;4551.169230769231;12
1433;CHORIZO PARRILLERO SJ 800 G.;1585.5999999999997;4517887;2849.32328456105;93
1680;PECHUGA DE POLLO ACARAMELADO SJ;1370.2149999999997;6381088;4656.997624460396;95
1695;PECHUGA DE POLLO COCIDA 3 KG SJ;1122.1799999999998;5225993;4657.0006594307515;88
1831;JAMON ARTESANAL G2 SJ;3182.055999999998;14322430;4500.998725352416;111
1834;JAMON COLONIAL SJ;2981.9700000000003;17044943;5716.000831664973;97
2271;PAPAS DUQUESAS 5X1 KG SJ;980;3170300;3235;74
2272;PAPAS PRE-FRITAS SAN JORGE;20;47040;2352;1
2288;PAPAS FRITAS 10x1 KG SJ;2500;5880000;2352;78
2708;ARVEJAS 10x200 GR SJ;60;181320;3022;20
2709;CHOCLO 10x200 GR SJ;82;247804;3022;25
2710;MIX PRIMAVERA POROTO VERDE 10X200 GR SJ;78;235716;3022;23
3003;JAMON SANDWICH DE PAVO LP;275.735;1550735;5624.004932271928;43
3004;JAMON PIERNA 1/2 PZA LP;363.5510000000001;2103509;5786.008015381609;61
3012;JAMON COCIDO DE PAVO LP;275.4150000000001;1937548;7035.012617322947;50
3014;JAMON ACARAM DE PAVO LP;181.42999999999998;1276360;7034.999724411619;33
3017;PECHUGA DE PAVO COCIDA LP;669.36;3372907;5039.002928170193;94
3018;PECHUGA DE PAVO ACARAM LP;662.4810000000001;3338240;5038.997344829511;89
3019;PECHUGA DE PAVO AHUM LP;591.2760000000001;2979442;5039.003781651884;88
3022;PECHUGA PAVO AHUM CP 10x125 GR;31.25;336779;10776.928;20
3023;PECHUGA PAVO ACARAM CP 10x125 GR;38.75;417606;10776.929032258064;25
3027;ARROLLADO HUASO LP;136.525;979431;7174.004761032777;31
3032;SALCHICHON CERVEZA LP;1147.5;5164916;4501.016122004357;107
3034;SALAME 10x100 GR LP;89;886999;9966.280898876405;62
3044;SALAME PIEZA LP;5.525;44001;7963.981900452488;4
3048;MORTADELA JAMONADA CENTENARIO MERKEN LP;132;682968;5174;24
3049;MORTADELA JAMONADA LP 150 G.;16.5;102880;6235.151515151515;9
3053;SALCHICHON CERVEZA LP 150 G.;4.949999999999999;30864;6235.151515151516;3
3054;SALCHICHA SURENA 12x250 GR LP;183;823683;4501;48
3058;VIENESA SIN PIEL 10x380 GR LP;3.8;19996;5262.105263157895;1
3071;PATE TERNERA 160 Gr.(x10);767.9999999999998;3073193;4001.553385416668;106
3074;SALCHICHON TE 160 Gr.(x10);81.60000000000001;419675;5143.075980392156;35
