FECHA EMISIÓN;CANTIDAD;PRECIO;MONTO;RECEPTOR;CÓDIGO;NOMBRE ITEM;DESCRIPCIÓN;LOCAL;UNIDAD;TIPO DTE;FOLIO;RUT EMISOR;RAZÓN SOCIAL;FECHA CREACIÓN;ARCHIVO ORIGEN
2024-11-01;23.5;2200;51700;5845580-6;P01;POLLO I;;;KG;33;7903856;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.457Z;79662080-3_7903856.xml
2024-11-01;1374.4;1750;2405200;5845580-6;P16;TRUTRO ENTERO;;;KG;33;7903856;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.457Z;79662080-3_7903856.xml
2024-11-01;1180;2400;2832000;5845580-6;P31;PECHUGA ENTERA;;;KG;33;7903856;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.457Z;79662080-3_7903856.xml
2024-11-01;279.8;1850;517630;5845580-6;P59;CAZUELA POLLO;;;KG;33;7903856;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.457Z;79662080-3_7903856.xml
2024-11-01;129;3200;412800;5845580-6;C03;*CHULETA CENTRO;;;KG;33;7903857;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.459Z;79662080-3_7903857.xml
2024-11-01;20.6;3200;65920;5845580-6;C06;*CHULETA VETADA PORCIONADA;;;KG;33;7903857;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.459Z;79662080-3_7903857.xml
2024-11-01;181.5;4900;889350;5845580-6;C31;COSTILLAR CON MALAYA;;;KG;33;7903857;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.459Z;79662080-3_7903857.xml
2024-11-01;58.5;3200;187200;5845580-6;C43;*PULPA PIERNA S/HUESO;;;KG;33;7903857;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.459Z;79662080-3_7903857.xml
2024-11-04;15.7;4900;76930;5845580-6;C32;*COSTILLAR;;;KG;33;7921924;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.460Z;79662080-3_7921924.xml
2024-11-04;106.7;1750;186725;5845580-6;P16;TRUTRO ENTERO;;;KG;33;7921925;79662080-3;AGRICOLA DON POLLO LIMITADA;2024-12-06T21:58:40.461Z;79662080-3_7921925.xml
